Tabela de observabilidade - Cinturão Principal - Zeiss


Iluninação da lua: 5.5 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                    |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
--------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
4 Vesta (A807 FA)         |   7.7 |   5.3 |       |       |       |       |       |       |       |       |       |       |  29.2 |  40.8 |  50.6 |
18 Melpomene (A852 MA)    |   8.9 |  11.6 |       |       |       |  30.8 |  43.5 |  55.6 |  65.6 |  70.0 |  65.6 |  55.7 |  43.6 |  30.9 |       |
8 Flora (A847 UA)         |   9.1 |  12.9 |       |       |  20.9 |  33.6 |  46.6 |  59.5 |  72.1 |  81.6 |  76.4 |  64.3 |  51.4 |  38.4 |  25.6 |
3 Juno (A804 RA)          |   9.2 |   7.2 |       |       |       |       |  23.2 |  35.8 |  47.6 |  57.6 |  63.4 |  62.3 |  55.0 |  44.3 |  32.2 |
2 Pallas (A802 FA)        |   9.8 |   7.8 |       |       |       |       |       |       |       |       |       |       |  30.7 |  41.9 |  51.0 |
324 Bamberga (A892 DA)    |   9.8 |  29.4 |       |       |       |       |  26.4 |  39.0 |  51.8 |  64.7 |  77.7 |  86.9 |  75.3 |  62.4 |  49.4 |
349 Dembowska (A892 XB)   |  10.1 |   4.7 |       |       |       |       |       |  22.4 |  35.0 |  47.9 |  60.9 |  73.7 |  84.0 |  77.3 |  64.6 |
9 Metis (A848 HA)         |  10.2 |   5.1 |       |       |       |       |       |       |       |  30.7 |  43.7 |  56.2 |  67.4 |  74.0 |  70.3 |
14 Irene (A851 KA)        |  10.3 |  15.0 |  21.5 |  34.1 |  47.0 |  60.0 |  72.8 |  83.5 |  78.0 |  65.5 |  52.5 |  39.5 |  26.8 |       |       |
