Tabela de observabilidade - OPD 1.6m


Iluninação da lua: 30.2 %


--------------------------------------------------------------------------------------------------------------------------------------------------------


Objeto                           |  mag  |  rot  | 18:00 | 19:00 | 20:00 | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 |
Objeto                           |  mag  |  rot  | 21:00 | 22:00 | 23:00 | 00:00 | 01:00 | 02:00 | 03:00 | 04:00 | 05:00 | 06:00 | 07:00 | 08:00 | 09:00 |
---------------------------------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+-------+
624 Hektor (A907 CF)             |  15.3 |   inf |  46.0 |  32.2 |       |       |       |       |       |       |       |       |       |       |       |
911 Agamemnon (A919 FB)          |  16.1 |   inf |  41.2 |       |       |       |       |       |       |       |       |       |       |       |       |
1437 Diomedes (1937 PB)          |  16.2 |   inf |  64.0 |  50.8 |  37.7 |       |       |       |       |       |       |       |       |       |       |
1143 Odysseus (1930 BH)          |  16.3 |   inf |  37.1 |       |       |       |       |       |       |       |       |       |       |       |       |
588 Achilles (A906 DN)           |  16.3 |   inf |  56.1 |  42.3 |       |       |       |       |       |       |       |       |       |       |       |
3063 Makhaon (1983 PV)           |  16.4 |   inf |  52.0 |  38.1 |       |       |       |       |       |       |       |       |       |       |       |
1172 Aneas (1930 UA)             |  16.5 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  32.3 |
3451 Mentor (1984 HA1)           |  16.6 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  34.1 |
2241 Alcathous (1979 WM)         |  16.6 |   inf |       |       |       |       |       |       |       |       |       |       |       |  32.9 |  36.7 |
1583 Antilochus (1950 SA)        |  16.6 |   inf |  59.7 |  45.9 |  32.1 |       |       |       |       |       |       |       |       |       |       |
4709 Ennomos (1988 TU2)          |  16.7 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  31.7 |
3317 Paris (1984 KF)             |  16.8 |   inf |       |       |       |       |       |       |       |       |       |       |       |  32.1 |  45.1 |
1173 Anchises (1930 UB)          |  16.8 |   inf |       |       |       |       |       |       |       |       |       |       |       |  33.2 |  39.2 |
3793 Leonteus (1985 TE3)         |  16.8 |   inf |  52.6 |  39.5 |       |       |       |       |       |       |       |       |       |       |       |
2207 Antenor (1977 QH1)          |  16.8 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  36.1 |
4063 Euforbo (1989 CG2)          |  16.9 |   inf |  48.1 |  37.8 |       |       |       |       |       |       |       |       |       |       |       |
2363 Cebriones (1977 TJ3)        |  17.1 |   inf |       |       |       |       |       |       |       |       |       |       |       |  32.1 |  44.9 |
136472 Makemake (2005 FY9)       |  17.1 |   inf |  40.8 |  32.2 |       |       |       |       |       |       |       |       |       |       |       |
2357 Phereclos (1981 AC)         |  17.1 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  38.1 |
319 Leona (A891 TA)              |  17.2 |   inf |  69.8 |  59.1 |  46.1 |  32.5 |       |       |       |       |       |       |       |       |       |
136108 Haumea (2003 EL61)        |  17.3 |   inf |  52.8 |  47.8 |  39.0 |       |       |       |       |       |       |       |       |       |       |
7352 Hypsenor (1994 CO)          |  18.0 |   inf |       |       |       |       |       |       |       |       |       |       |       |  40.1 |  48.7 |
3548 Eurybates (1973 SO)         |  18.0 |   inf |  60.7 |  47.8 |  34.2 |       |       |       |       |       |       |       |       |       |       |
21900 Orus (1999 VQ10)           |  18.0 |   inf |  40.5 |       |       |       |       |       |       |       |       |       |       |       |       |
12929 Periboea (1999 TZ1)        |  18.1 |   inf |       |       |       |       |       |       |       |       |       |       |       |  38.1 |  51.8 |
1873 Agenor (1971 FH)            |  18.3 |   inf |       |       |       |       |       |       |       |       |       |  30.6 |  42.3 |  51.9 |  57.4 |
17365 Thymbraeus (1978 VF11)     |  18.3 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  36.0 |
2060 Chiron (1977 UB)            |  18.4 |   inf |       |       |       |       |       |       |       |       |  35.9 |  46.2 |  53.4 |  55.4 |  51.4 |
11089 (1994 CS8)                 |  18.6 |   7.7 |       |       |       |       |       |       |       |       |       |  36.6 |  47.4 |  55.2 |  57.8 |
468861 (2013 LU28)               |  18.6 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  30.4 |
136199 Eris (2003 UB313)         |  18.6 |   inf |       |       |       |       |       |       |       |  30.3 |  43.5 |  55.5 |  64.6 |  67.0 |  61.0 |
4501 Eurypylos (1989 CJ3)        |  18.6 |   inf |  55.0 |  41.3 |       |       |       |       |       |       |       |       |       |       |       |
9142 Rhesus (5191 T-3)           |  18.7 |   inf |       |       |       |       |       |       |       |       |       |       |       |  34.6 |  45.4 |
16560 Daitor (1991 VZ5)          |  18.8 |   inf |       |       |       |       |       |       |       |       |       |       |       |       |  39.2 |
32615 (2001 QU277)               |  18.8 |   6.7 |       |       |       |       |       |       |       |       |       |  39.8 |  52.2 |  62.5 |  67.2 |
50000 Quaoar (2002 LM60)         |  18.8 |   inf |  37.2 |  51.0 |  64.8 |  77.5 |  81.1 |  69.8 |  56.3 |  42.4 |       |       |       |       |       |
5638 Deikoon (1988 TA3)          |  18.8 |   inf |       |       |       |       |       |       |       |       |       |       |  40.1 |  50.3 |  56.9 |
1871 Astyanax (1971 FF)          |  19.0 |   inf |       |       |       |       |       |       |       |       |       |  39.4 |  50.1 |  57.6 |  59.3 |
10199 Chariklo (1997 CU26)       |  19.0 |   inf |       |       |       |  35.8 |  49.0 |  61.2 |  69.7 |  69.7 |  61.0 |  48.9 |  35.6 |       |       |
19844 (2000 ST317)               |  19.1 |  14.5 |       |       |       |       |       |       |       |       |       |       |       |  40.3 |  53.2 |
11351 Leucus (1997 TS25)         |  19.1 |   inf |  54.0 |  40.1 |       |       |       |       |       |       |       |       |       |       |       |
523727 (2014 NW65)               |  19.2 |   inf |       |       |       |       |       |  30.1 |  41.4 |  50.3 |  55.1 |  54.0 |  47.5 |  37.5 |       |
28978 Ixion (2001 KX76)          |  19.3 |   inf |  42.9 |  55.5 |  67.8 |  78.1 |  77.9 |  67.6 |  55.2 |  42.6 |       |       |       |       |       |
24448 (2000 QE42)                |  19.3 |   8.3 |       |       |       |       |       |       |       |       |       |       |  31.7 |  42.5 |  50.8 |
18940 (2000 QV49)                |  19.4 |   nan |       |       |       |       |       |       |       |       |       |       |  39.7 |  48.1 |  52.5 |
23463 (1989 TX11)                |  19.4 |   nan |       |       |       |       |       |       |       |       |       |       |       |  30.1 |  40.7 |
56976 (2000 SS161)               |  19.4 |   nan |       |       |       |       |       |       |       |       |       |       |       |  36.0 |  44.4 |
